model,dataset,test_run,group_axis,confidence_source,delta_error_detection_auprc_vs_uncertainty,delta_review_error_rate_vs_uncertainty,delta_retained_accuracy_gain_vs_residual_vs_uncertainty
DrugBAN,human,seed_4,drug,base,0.0,,
DrugBAN,human,seed_4,target,base,0.0,,
DrugBAN,human,seed_5,drug,base,0.0,0.0,0.0
DrugBAN,human,seed_5,target,base,0.0,0.0,0.0
DrugBAN,human,seed_6,drug,base,0.0,,
DrugBAN,human,seed_6,target,base,0.0,,
DrugBAN,human,seed_7,drug,base,0.0,0.0,0.0
DrugBAN,human,seed_7,target,base,0.0,0.0,0.0
DrugBAN,human,seed_8,drug,base,-0.031335304859,-0.022727272727,-0.005434782609
DrugBAN,human,seed_8,target,base,0.068943931903,0.025,0.00641025641
